Ticker,Final Market Return (%),Final Strategy Return (%),Mean Daily Market Return (%),Mean Daily Strategy Return (%),Std Daily Market Return (%),Std Daily Strategy Return (%)
NVDA,2146.72,-53.35,0.3096,-0.0268,3.4143,2.6196
AMD,151.0,-58.57,0.1294,-0.0435,3.3203,2.3341
TSM,295.6,-52.47,0.1405,-0.0403,2.4269,1.9757
AVGO,760.97,-13.32,0.209,0.0112,2.6496,2.0971
MSFT,157.07,34.01,0.095,0.0344,1.9301,1.4703
META,183.25,-29.24,0.1251,-0.0069,2.8422,2.0216
PLTR,604.84,-79.31,0.2855,-0.0903,4.5223,3.4254
CVX,60.4,-15.86,0.0639,0.003,2.2562,1.8232
COP,91.93,-25.89,0.092,0.0017,2.7974,2.2657
NEM,-3.58,-23.99,0.0242,-0.0069,2.3306,1.7537
